Title="AUS00801_IN1_Central_1D_withDiameter"
Vertex = "x","y","z","bpName"
Link = "bp0","bp1", "id","generation","length","diameter", "name","InArea","OutArea","InPeri","OutPeri"
N=295, E=294
        134.048         118.712             0.5 unnamed
        129.504         157.904           101.5 unnamed
        169.832          167.56             135 unnamed
        115.304         160.744             122 unnamed
        180.056         157.904             133 unnamed
        177.784         171.536             143 unnamed
         98.264         158.472             119 unnamed
        182.896          153.36           123.5 unnamed
        191.416         149.384           141.5 unnamed
        182.896           170.4             155 unnamed
         92.016         151.656             115 unnamed
        106.216          161.88           148.5 unnamed
        183.464         142.568             116 unnamed
          184.6         154.496             122 unnamed
        196.528         141.432           153.5 unnamed
        183.464         168.696           156.5 unnamed
          90.88         149.952             103 unnamed
         105.08          164.72             152 unnamed
         95.992         147.112             157 unnamed
        186.304         135.752           115.5 unnamed
        182.328         139.728           110.5 unnamed
        199.368         140.296             156 unnamed
        199.936         135.184           159.5 unnamed
         195.96         145.408             141 unnamed
        182.328         168.696           158.5 unnamed
         187.44          164.72           166.5 unnamed
           85.2         149.952              97 unnamed
        102.808         171.536           151.5 unnamed
         81.792         141.432           159.5 unnamed
          90.88         127.232             161 unnamed
        195.392           127.8           107.5 unnamed
        186.872         121.552           116.5 unnamed
          184.6         154.496           105.5 unnamed
          198.8         140.296           156.5 unnamed
         207.32         129.504           167.5 unnamed
        206.752         126.664             140 unnamed
         204.48         143.704           141.5 unnamed
        186.872         163.584           171.5 unnamed
        191.416         163.584             171 unnamed
         95.424         182.328           149.5 unnamed
        113.032          181.76             149 unnamed
          73.84         136.888           164.5 unnamed
         76.112         141.432           158.5 unnamed
         89.744         122.688             161 unnamed
         90.312         117.008             169 unnamed
        186.872          110.76             117 unnamed
        188.576         123.256             115 unnamed
        209.024         122.688             141 unnamed
         210.16         124.392             137 unnamed
        209.024         142.568             143 unnamed
        212.432         143.704           137.5 unnamed
         90.312          181.76             149 unnamed
         94.288         184.032           149.5 unnamed
         64.184         134.048             171 unnamed
         60.208         145.408           156.5 unnamed
             71         138.024           155.5 unnamed
         89.744         105.648           164.5 unnamed
           85.2          116.44             160 unnamed
        210.728         123.256             141 unnamed
        212.432           113.6           143.5 unnamed
         91.448          190.28           150.5 unnamed
          90.88          190.28             146 unnamed
         61.344         120.416           170.5 unnamed
         60.208         134.048             173 unnamed
          62.48         131.776             174 unnamed
         55.096          147.68           157.5 unnamed
         57.368         145.976             155 unnamed
           56.8         128.368             152 unnamed
