Variables= x1	y1	z1	bp0	bp1	id	generation	length	diameter	name	InArea	OutArea	InPeri	OutPeri
Zone T= NZL00407_IN1_Central_1D_SegAwyCrd 
199.374912	140.468688	98	26	48	53	4	10.759	4.6756	LB1	17.1698	45.7513	15.108	24.2492
205.605378	146.699154	100.5	26	49	54	4	10.3131	3.52279	LB2	9.74681	31.1443	11.2969	19.9896
203.339754	138.203064	114	13	25	25	3	7.55533	4.9037	LB3	18.8859	48.7353	15.7295	24.9963
208.437408	125.742132	130.5	14	27	27	4	12.518	4.04286	LB4	12.8371	38.7919	13.4456	22.5678
207.871002	124.60932	137	14	28	28	4	15.9343	3.36791	LB5	8.90865	26.9834	11.7237	19.2197
187.480386	166.523364	122	8	15	14	3	12.0062	4.78345	LB6	17.971	46.9038	15.2658	24.5351
207.304596	155.76165	148.5	16	31	31	4	14.415	5.67099	LB8	25.2585	59.1355	18.1852	27.5065
209.003814	163.124928	147.5	32	59	64	4	11.2934	4.7388	LB9	17.6371	46.9812	15.226	24.5149
202.206942	171.054612	148.5	32	276	65	4	9.67928	5.70825	LB10	25.5915	60.5857	18.2761	27.8021
108.749952	143.867124	92.5	12	23	23	3	11.7451	4.33889	RB1	14.7859	42.2024	14.1022	23.3243
107.050734	152.92962	96.5	12	24	24	3	9.35332	4.54758	RB2	16.2424	42.3339	14.8399	23.4876
105.917922	137.070252	107	6	11	10	3	12.2716	5.79138	RB3	26.3423	62.8767	18.4782	28.2996
97.988238	132.539004	142	10	301	18	4	9.69385	4.32551	RB4	14.6948	40.2401	13.8143	22.6936
106.484328	128.007756	143	10	19	19	4	10.1313	4.85263	RB5	18.4946	48.2878	15.5571	24.8415
113.2812	159.160086	127.5	5	9	8	3	8.58189	4.4188	RB6	15.3355	43.0775	14.3635	23.5698
114.980418	154.062432	144.5	20	39	42	4	9.93656	4.9178	RB7	18.9947	48.4782	15.7122	24.8833
93.45699	160.292898	143	38	68	78	5	12.9552	5.18453	RB8	21.111	51.124	16.6972	25.7103
93.45699	172.75383	147	69	119	142	5	11.3291	4.46708	RB9	15.6725	41.5476	14.3502	23.0681
101.95308	171.054612	150.5	69	118	141	5	6.27611	5.00566	RB10	19.6794	49.4767	16.0655	25.2173
