x1,y1,z1
180.48,139.872,109
183.864,148.896,109.5
185.556,139.872,132.5
193.452,128.592,156.5
192.324,133.104,159.5
177.66,162.996,151
188.94,152.844,178
199.656,161.304,193
191.196,170.892,190.5
103.212,142.128,104.5
94.188,148.332,115.5
96.444,131.412,121
97.008,135.924,169
95.88,125.772,167
102.084,161.868,158.5
107.724,155.1,183
90.24,153.972,187
83.472,167.508,208.5
91.932,178.788,211
