Title="AUS00801_IN0_Central_1D_withDiameter"
Vertex = "x","y","z","bpName"
Link = "bp0","bp1", "id","generation","length","diameter", "name","InArea","OutArea","InPeri","OutPeri"
N=326, E=325
        138.024         119.848             0.5 unnamed
        134.616         158.472            98.5 unnamed
         173.24         169.264             133 unnamed
        182.328         160.176           131.5 unnamed
        181.192          173.24           142.5 unnamed
        118.712         163.584           118.5 unnamed
        186.304         155.064             122 unnamed
        193.688         151.656           140.5 unnamed
        185.736         172.104           155.5 unnamed
        109.056         166.424             145 unnamed
        186.872         145.408             115 unnamed
        188.008           156.2             120 unnamed
        198.232         148.248           140.5 unnamed
         190.28          173.24             163 unnamed
        107.352         169.832           149.5 unnamed
         98.264          153.36           152.5 unnamed
        102.808         163.016             115 unnamed
        185.736         140.864           109.5 unnamed
         190.28         137.456           114.5 unnamed
        188.008           156.2             104 unnamed
        207.888         147.112             141 unnamed
        209.592         131.208             140 unnamed
          198.8         144.272           152.5 unnamed
        105.648         175.512             150 unnamed
         95.424         143.704           152.5 unnamed
         95.992         147.112             159 unnamed
         84.632         148.248           154.5 unnamed
          96.56           156.2             110 unnamed
        193.688         135.752             113 unnamed
        191.416         109.624             117 unnamed
        189.144         153.928            96.5 unnamed
        218.112          147.68           136.5 unnamed
        213.568          144.84           144.5 unnamed
        217.544         113.032             146 unnamed
        218.112         123.824           134.5 unnamed
        199.936         136.888             160 unnamed
        210.728         135.184             165 unnamed
         110.76         189.712           143.5 unnamed
         97.696         186.304           149.5 unnamed
         92.584         132.912           155.5 unnamed
         95.992         143.704             154 unnamed
         93.152          133.48             170 unnamed
         74.408          102.24           193.5 unnamed
         78.384         148.248           153.5 unnamed
          76.68         144.272             160 unnamed
         95.424         154.496            97.5 unnamed
        194.824         111.328             117 unnamed
        189.712         105.648             116 unnamed
        111.328          195.96           143.5 unnamed
        109.056         189.144             143 unnamed
          93.72         185.736             149 unnamed
         97.128          187.44           149.5 unnamed
         91.448          122.12           163.5 unnamed
         91.448         128.368             155 unnamed
         59.072         136.888             146 unnamed
         63.616         153.928           151.5 unnamed
