x1,y1,z1
188.008,156.2,104
195.96,160.744,108
186.872,145.408,115
198.232,148.248,140.5
198.8,144.272,152.5
184.032,178.92,140.5
210.16,170.968,193
206.752,173.24,195
194.256,180.056,176.5
95.424,154.496,97.5
98.832,168.128,112.5
92.584,148.248,109.5
84.632,148.248,154.5
95.992,147.112,159
105.648,175.512,150
106.216,167.56,176.5
90.88,170.968,179
92.584,177.216,183
99.4,186.304,198.5
