Title="NZL00306_IN0_Central_1D"
Vertex = "x","y", "z", "bpName"
Link = "bp0","bp1", "id","generation","length","diameter","name"
N=527, E=526
  215.953125   215.953125     0.500000 unnamed
  204.000000   250.218750   102.000000 unnamed
  182.484375   250.218750   122.500000 unnamed
  245.437500   249.421875   135.500000 unnamed
  255.796875   256.593750   147.000000 unnamed
  170.531250   245.437500   152.500000 unnamed
  164.156250   249.421875   113.000000 unnamed
  262.171875   255.796875   160.000000 unnamed
  260.578125   242.250000   133.000000 unnamed
  158.578125   227.109375   160.000000 unnamed
  168.140625   247.828125   157.000000 unnamed
  162.562500   247.031250   112.000000 unnamed
  160.968750   256.593750   112.500000 unnamed
  266.156250   260.578125   168.000000 unnamed
  263.765625   240.656250   123.500000 unnamed
  270.937500   232.687500   141.500000 unnamed
  156.984375   219.937500   161.000000 unnamed
  156.984375   238.265625   112.000000 unnamed
  146.625000   266.156250   115.000000 unnamed
  161.765625   267.750000   107.500000 unnamed
  268.546875   269.343750   180.000000 unnamed
  274.921875   261.375000   172.000000 unnamed
  267.750000   231.890625   118.000000 unnamed
  267.750000   247.828125   116.500000 unnamed
  279.703125   225.515625   142.500000 unnamed
  278.906250   221.531250   157.000000 unnamed
  152.203125   199.218750   161.500000 unnamed
  165.750000   258.984375   154.500000 unnamed
  154.593750   220.734375   107.500000 unnamed
  149.812500   235.875000   109.500000 unnamed
  141.046875   266.953125   116.000000 unnamed
  144.234375   273.328125   113.500000 unnamed
  161.765625   274.125000   102.000000 unnamed
  161.765625   276.515625   110.000000 unnamed
  291.656250   258.984375   185.500000 unnamed
  283.687500   265.359375   169.500000 unnamed
  264.562500   224.718750   109.500000 unnamed
  271.734375   227.906250   115.500000 unnamed
  266.953125   254.203125   102.500000 unnamed
  273.328125   255.000000   113.000000 unnamed
  288.468750   208.781250   145.500000 unnamed
  288.468750   227.906250   142.500000 unnamed
  275.718750   217.546875   160.000000 unnamed
  282.890625   216.750000   162.000000 unnamed
  168.937500   262.968750   154.000000 unnamed
